state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Kerala,2017,False,tigerdeaths_16-18,1.0,,,,,,,False,1.0,
Kerala,2018,False,tigerdeaths_16-18,2.0,,,,,,57.43,False,2.0,
Kerala,2019,False,mortality_19-21,1.0,,,,,,43.75,False,1.0,10.0
Kerala,2020,False,mortality_19-21|tigerdeaths_20-22,10.0,,,,,,20.75,False,10.0,4.0
Kerala,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,6.0,,,,,,20.47,False,6.0,7.0
Kerala,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,7.0,,,,,3.0,49.59,False,7.0,5.0
Kerala,2023,False,tigerdeaths_unnaturalcauses,2.0,1.0,,,,1.0,,False,2.0,3.0
Kerala,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,2.0,
Madhya Pradesh,2012,False,tigerdeaths_2012,15.0,7.0,6.0,2.0,,,,False,15.0,
Madhya Pradesh,2013,False,tigerdeaths_2013,10.0,2.0,3.0,5.0,,,,False,10.0,
Madhya Pradesh,2014,False,mortality_14-15,15.0,2.0,5.0,8.0,,,,False,15.0,
Madhya Pradesh,2015,False,mortality_14-15,2.0,0.0,0.0,2.0,,,,False,2.0,
Madhya Pradesh,2016,False,tigerdeaths_16-18,26.0,,,,,,,False,26.0,
Madhya Pradesh,2017,False,tigerdeaths_16-18,12.0,,,,,,,False,12.0,
Madhya Pradesh,2018,False,tigerdeaths_16-18,15.0,,,,,,57.43,False,15.0,
Madhya Pradesh,2019,False,mortality_19-21,31.0,,,,,,43.75,False,31.0,10.0
Madhya Pradesh,2020,False,mortality_19-21|tigerdeaths_20-22,29.0,,,,,,20.75,False,29.0,4.0
Madhya Pradesh,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,42.0,3.0,,,,1.0,20.47,False,42.0,7.0
Madhya Pradesh,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,34.0,5.0,,,1.0,1.0,49.59,False,34.0,5.0
