landscape,state,year,population,source_file,has_conflict,was_imputed,population_imputed,imputation_method,population_ci_lower,population_ci_upper,population_ci_method
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Odisha,2006,45.0,tiger_population_06-18,False,False,45.0,none,19.23,41.97,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Odisha,2010,32.0,tiger_population_06-18,False,False,32.0,none,19.23,41.97,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Odisha,2014,28.0,tiger_population_06-18,False,False,28.0,none,19.23,41.97,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Odisha,2018,28.0,tiger_population_06-18,False,False,28.0,none,19.23,41.97,t-distribution
Unknown,Odisha,2022,20.0,tiger_population_2022,False,False,20.0,none,19.23,41.97,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Rajasthan,2006,32.0,tiger_population_06-18,False,False,32.0,none,24.42,83.58,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Rajasthan,2010,36.0,tiger_population_06-18,False,False,36.0,none,24.42,83.58,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Rajasthan,2014,45.0,tiger_population_06-18,False,False,45.0,none,24.42,83.58,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Rajasthan,2018,69.0,tiger_population_06-18,False,False,69.0,none,24.42,83.58,t-distribution
Unknown,Rajasthan,2022,88.0,tiger_population_2022,False,False,88.0,none,24.42,83.58,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Sundarbans,2006,70.0,tiger_population_06-18,False,True,70.0,spline,62.5,89.5,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Sundarbans,2010,70.0,tiger_population_06-18,False,False,70.0,none,62.5,89.5,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Sundarbans,2014,76.0,tiger_population_06-18,False,False,76.0,none,62.5,89.5,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Sundarbans,2018,88.0,tiger_population_06-18,False,False,88.0,none,62.5,89.5,t-distribution
Western Ghats Landscape Complex,Tamil Nadu,2006,76.0,tiger_population_06-18,False,False,76.0,none,95.46,319.74,t-distribution
Western Ghats Landscape Complex,Tamil Nadu,2010,163.0,tiger_population_06-18,False,False,163.0,none,95.46,319.74,t-distribution
Western Ghats Landscape Complex,Tamil Nadu,2014,229.0,tiger_population_06-18,False,False,229.0,none,95.46,319.74,t-distribution
Western Ghats Landscape Complex,Tamil Nadu,2018,264.0,tiger_population_06-18,False,False,264.0,none,95.46,319.74,t-distribution
Unknown,Tamil Nadu,2022,306.0,tiger_population_2022,False,False,306.0,none,95.46,319.74,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Telangana,2006,166.0,tiger_population_06-18,False,True,26.0,kalman,12.06,205.94,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Telangana,2010,166.0,tiger_population_06-18,False,True,26.0,kalman,12.06,205.94,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Telangana,2014,166.0,tiger_population_06-18,False,True,26.0,kalman,12.06,205.94,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Telangana,2018,26.0,tiger_population_06-18,False,False,26.0,none,12.06,205.94,t-distribution
Unknown,Telangana,2022,21.0,tiger_population_2022,False,False,21.0,none,12.06,205.94,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttar Pradesh,2006,109.0,tiger_population_06-18,False,False,109.0,none,91.75,197.05,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttar Pradesh,2010,118.0,tiger_population_06-18,False,False,118.0,none,91.75,197.05,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttar Pradesh,2014,117.0,tiger_population_06-18,False,False,117.0,none,91.75,197.05,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttar Pradesh,2018,173.0,tiger_population_06-18,False,False,173.0,none,91.75,197.05,t-distribution
Unknown,Uttar Pradesh,2022,205.0,tiger_population_2022,False,False,205.0,none,91.75,197.05,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttarakhand,2006,178.0,tiger_population_06-18,False,False,178.0,none,155.67,543.13,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttarakhand,2010,227.0,tiger_population_06-18,False,False,227.0,none,155.67,543.13,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttarakhand,2014,340.0,tiger_population_06-18,False,False,340.0,none,155.67,543.13,t-distribution
Shivalik-Gangetic Plain Landscape Complex,Uttarakhand,2018,442.0,tiger_population_06-18,False,False,442.0,none,155.67,543.13,t-distribution
Unknown,Uttarakhand,2022,560.0,tiger_population_2022,False,False,560.0,none,155.67,543.13,t-distribution
Unknown,West Bengal,2022,103.0,tiger_population_2022,False,False,103.0,none,,,none
