state,year,fund_type,funds_lakhs,funds_lakhs_imputed,was_imputed,has_conflict
Tamil Nadu,2020,central_share,1336.1399999999999,1336.1399999999999,False,False
Telangana,2011,total_including_tpf,0.0,0.0,False,False
Telangana,2012,total_including_tpf,0.0,0.0,False,False
Telangana,2013,total_including_tpf,0.0,0.0,False,False
Telangana,2014,total_including_tpf,0.0,0.0,False,False
Telangana,2015,total_including_tpf,86.0144,86.0144,False,False
Telangana,2018,central_share,1115.65,1115.65,False,False
Telangana,2019,central_share,444.95000000000005,444.95000000000005,False,False
Telangana,2020,central_share,351.96999999999997,351.96999999999997,False,False
Uttar Pradesh,2011,total_including_tpf,446.1258,446.1258,False,False
Uttar Pradesh,2012,total_including_tpf,334.055,334.055,False,False
Uttar Pradesh,2013,total_including_tpf,525.876,525.876,False,False
Uttar Pradesh,2014,total_including_tpf,760.9283,760.9283,False,False
Uttar Pradesh,2015,total_including_tpf,624.5463,624.5463,False,False
Uttar Pradesh,2018,central_share,685.336,685.336,False,False
Uttar Pradesh,2019,central_share,1242.49,1242.49,False,False
Uttar Pradesh,2020,central_share,923.29,923.29,False,False
Uttarakhand,2011,total_including_tpf,399.76,399.76,False,False
Uttarakhand,2012,total_including_tpf,160.69,160.69,False,False
Uttarakhand,2013,total_including_tpf,377.689,377.689,False,False
Uttarakhand,2014,total_including_tpf,391.1941,391.1941,False,False
Uttarakhand,2015,total_including_tpf,683.9853800000001,683.9853800000001,False,False
Uttarakhand,2018,central_share,1417.26,1417.26,False,False
Uttarakhand,2019,central_share,2289.1800000000003,2289.1800000000003,False,False
Uttarakhand,2020,central_share,1671.3,1671.3,False,False
West Bengal,2011,total_including_tpf,157.66,157.66,False,False
West Bengal,2012,total_including_tpf,404.916,404.916,False,False
West Bengal,2013,total_including_tpf,347.81,347.81,False,False
West Bengal,2014,total_including_tpf,596.8825,596.8825,False,False
West Bengal,2015,total_including_tpf,376.50781,376.50781,False,False
West Bengal,2018,central_share,719.01,719.01,False,False
West Bengal,2019,central_share,758.47,758.47,False,False
West Bengal,2020,central_share,333.96,333.96,False,False
