year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Mizoram,Odisha,Rajasthan,Sundarbans,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
2016,0.016023598547205992,0.009308045921731675,0.10967380365609423,0.03531973890512019,0.005817470978640526,0.0021285758087316886,0.1156872220917572,0.18660756027356207,0.05433511930965786,0.05138645289199414,0.0028022973747697387,0.009759699490318602,0.019811230382437903,0.03016096336800474,0.07349752342903323,0.026139440544974416,0.1142125598656732,0.32715641992473526,0.0
2017,0.01480888022487886,0.009984228082966434,0.11464121498189327,0.0363874645576753,0.004378950247779987,0.0037188886528774115,0.12465918438815486,0.20358623836890738,0.06450285601585265,0.06026990303563205,0.0014348016127962166,0.010564075962132225,0.023136279408477456,0.03224789681678153,0.07717148787184032,0.013920425309736799,0.12987432440440666,0.3505587871454968,0.0
2018,0.014850979700567122,0.010529411551127554,0.11883169679154418,0.03931166541968373,0.0038754472062105063,0.005115508174582064,0.13022580757397273,0.21402421852999154,0.07403237156931738,0.0684276553000728,0.0,0.011337409401951656,0.026355493592559346,0.03420756997974756,0.08044243338360986,0.007249508566967336,0.1408141172257177,0.37141296584177136,0.0
2019,0.015767740248745443,0.010266498875717497,0.12388867903537397,0.044569691514501485,0.0034569949267269037,0.005486565737605264,0.1341710866437532,0.22166798517792632,0.08303070732407641,0.0759224697421161,0.0,0.01048411985037812,0.029043043500542143,0.035936162998042906,0.08388697181352296,0.005244069108684994,0.14852971212563917,0.39450797265697957,0.0
2020,0.0170061931746554,0.009124218385797153,0.129890572085869,0.051432500460205935,0.0028215998777517716,0.005100680738406144,0.13743567939557505,0.22865321332751992,0.09220954087480701,0.08335975626095163,0.0,0.008466876834267384,0.031303672189496805,0.03752748995598698,0.08728953933142654,0.004052133660099999,0.1557410568692426,0.41835744942821096,0.0
2021,0.01756043658743256,0.005946645478808875,0.1373953517848859,0.05934027154389052,0.001618605261610314,0.0027286475729328204,0.14051105110392154,0.237166230105237,0.10183521998984608,0.09083815673812626,0.0,0.006149177313668675,0.03235052895486017,0.03824143395697412,0.09074439802427309,0.0031367981037309775,0.16331005511485325,0.4488710925498472,0.0
2022,0.019491910856994348,0.0032677484124188963,0.1432234661329664,0.06847838492461036,0.003467505395030453,0.0010231016349164126,0.13991818638195924,0.23993241340467475,0.11048557353976073,0.09737781715779592,0.0,0.008098149572822611,0.033612803422394526,0.040427128157883484,0.09324009324009325,0.0058553723040890016,0.16686065914030135,0.4705684635099366,0.0
2023,0.020679759706644527,0.0,0.1494523428354755,0.0781224744112165,0.005067605955100795,0.0,0.13768524583832858,0.24280572343148737,0.11917022752201434,0.10357010058965449,0.0,0.01538648418836296,0.03349636827314238,0.039036835955000675,0.09535102078027181,0.010274607436291508,0.169305193748929,0.49775062774163736,0.0
2024,0.02017647417883104,0.0,0.15690591192286268,0.08843458640801584,0.004093418222960769,0.0,0.13378828118404268,0.24774223454496613,0.12870053063105374,0.10985892240829898,0.0,0.018743703465983867,0.031115468293178628,0.03685098464195073,0.09716710170391164,0.016295026401669688,0.1713566065093169,0.5378811652869596,0.0
2025,0.023797847680702932,0.0,0.16265163918056824,0.10101821267137451,0.007138981695650933,0.0,0.12624996509753258,0.24603390474704376,0.1382515116576235,0.11651778730088522,0.0,0.006871701913144753,0.031499977775877874,0.03729200179874856,0.09964584814831709,0.030995099182454498,0.16884703721315078,0.5654331561299248,0.0
2026,0.027294382716957825,0.0,0.16736243035606307,0.11391264497435942,0.010174356431514167,0.0,0.11487516590068914,0.2420355429113296,0.14761813394447817,0.12265768453236857,0.0,0.0,0.030836047244630207,0.03672567591732569,0.10148134477178634,0.05065004284025055,0.16297259031092434,0.5960699522562853,0.0
2027,0.031726407364697715,0.0,0.16991782233853547,0.1269019451947005,0.013747119605814529,0.0,0.09895542993934438,0.23360545399800683,0.1562583606959337,0.12804203951905466,0.0,0.0,0.030077014825218247,0.03598274299981302,0.10267776332971626,0.0769024565894818,0.15244991394924579,0.6236985509786769,0.0
2028,0.03725323988718259,0.0,0.17060846357436724,0.14013137873200948,0.018297259631414268,0.0,0.07865049531283086,0.22142049282075468,0.1646169881260498,0.13307003904286685,0.0,0.0,0.02942051170284002,0.035233950177498044,0.10360319985403406,0.11051684201219866,0.13755519479656203,0.650209498879716,0.0
2029,0.04392928280576189,0.0,0.16914505191047544,0.1533669486831887,0.023957553673703953,0.0,0.05371128690109607,0.20529131126854983,0.17262631542488424,0.13771036871214118,0.0,0.0,0.028944225393037624,0.034510291387128245,0.10425673365569244,0.15203380744052689,0.11799676556459848,0.6753958896552562,0.0
2030,0.05179209902169348,0.0,0.16527296643290032,0.1663787456382439,0.03084321810050471,0.0,0.023956773754904966,0.18508607852890147,0.18022476596805456,0.1419376818311731,0.0,0.0,0.02872196834903619,0.03384180223126597,0.1046411361396432,0.20187554489970533,0.09355227005541535,0.6990729194708631,0.0
